,Handle,,,# Tweets,,# Trump,,# Clinton,,e_Trump,,e_Clinton,,
,@DanielBush,,,265,,63,,50,,0.237735849,,0.188679245,,
,@PamelaKirkland,,,383,,39,,21,,0.101827676,,0.054830287,,
,@mattloff,,,40,,0,,1,,0,,0.025,,
,@juliepercha,,,696,,121,,55,,0.173850575,,0.079022989,,
,@rachelwellford,,,1305,,209,,154,,0.160153257,,0.118007663,,
,@MattJClaiborne,,,3059,,501,,1123,,0.163779013,,0.367113436,,
,@InesdLC,,,2330,,595,,159,,0.255364807,,0.068240343,,
,@adamdesiderio,,,583,,13,,31,,0.022298456,,0.053173242,,
,@KFaulders,,,1600,,749,,148,,0.468125,,0.0925,,
,@bgittleson,,,1615,,392,,136,,0.242724458,,0.084210526,,
,@abc7JoshHaskell,,,1822,,453,,563,,0.248627881,,0.309001098,,
,@jesshopp,,,1,,0,,0,,0,,0,,
,@LizKreutz,,,1722,,3,,6,,0.00174216,,0.003484321,,
,@TheBradMielke,,,2098,,599,,363,,0.28551001,,0.173021926,,
,@maryaliceparks,,,2091,,117,,306,,0.055954089,,0.146341463,,
,@JordynPhelps,,,1403,,280,,97,,0.199572345,,0.069137562,,
,@JTSantucci,,,2542,,1722,,252,,0.677419355,,0.09913454,,
,@GStephanopoulos,,,1037,,255,,120,,0.245901639,,0.115718419,,
,@donnabrazile,,,0,,0,,0,,0,,0,,
,@DianeSawyer,,,26,,0,,0,,0,,0,,
,@stevechaggaris,,,529,,95,,63,,0.179584121,,0.119092628,,
,@JanCBS,,,269,,8,,2,,0.029739777,,0.007434944,,
,@bobschieffer,,,57,,6,,2,,0.105263158,,0.035087719,,
,@Acosta,,,0,,0,,0,,0,,0,,
,@jennagiesta,,,906,,92,,80,,0.101545254,,0.088300221,,
,@tedbarrettcnn,,,0,,0,,0,,0,,0,,
,@DanaBashCNN,,,2078,,495,,96,,0.238209817,,0.046198268,,
,@KateBennett_DC,,,0,,0,,0,,0,,0,,
,@rebeccagberg,,,0,,0,,0,,0,,0,,
,@DHBerman,,,557,,110,,31,,0.197486535,,0.055655296,,
,@kyletblaine,,,0,,0,,0,,0,,0,,
,@wolfblitzer,,,974,,105,,75,,0.107802875,,0.077002053,,
,@GloriaBorger,,,68,,23,,12,,0.338235294,,0.176470588,,
,@ericbradner,,,0,,0,,0,,0,,0,,
,@brookebrower,,,99,,2,,7,,0.02020202,,0.070707071,,
